task_id,task_type,description,pre_tasks,requirements,affected_factors
1,Type B,Description task 1,"[11, 6, 16, 9, 2, 12, 14]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 1], [2, ""Product"", 3], [3, ""Product"", 1], [4, ""Product"", 4], [5, ""Product"", 5], [6, ""Product"", 5], [7, ""Product"", 2], [8, ""Product"", 3], [9, ""Product"", 2], [10, ""Product"", 2], [11, ""Environment"", 5], [12, ""Environment"", 3], [13, ""Environment"", 4], [14, ""Environment"", 4], [15, ""Environment"", 1], [16, ""Environment"", 2], [17, ""Environment"", 4], [18, ""Environment"", 4], [19, ""Environment"", 1], [20, ""Environment"", 5]]"
2,Type B,Description task 2,"[10, 18, 15, 11, 14, 9, 12]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 5], [2, ""Product"", 2], [3, ""Product"", 5], [4, ""Product"", 4], [5, ""Product"", 4], [6, ""Product"", 3], [7, ""Product"", 1], [8, ""Product"", 4], [9, ""Product"", 3], [10, ""Product"", 2], [11, ""Environment"", 5], [12, ""Environment"", 4], [13, ""Environment"", 2], [14, ""Environment"", 4], [15, ""Environment"", 3], [16, ""Environment"", 3], [17, ""Environment"", 1], [18, ""Environment"", 5], [19, ""Environment"", 3], [20, ""Environment"", 1]]"
3,Type A,Description task 3,"[14, 18, 9, 5, 13, 15, 6]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 4], [2, ""Product"", 2], [3, ""Product"", 2], [4, ""Product"", 1], [5, ""Product"", 1], [6, ""Product"", 3], [7, ""Product"", 5], [8, ""Product"", 3], [9, ""Product"", 1], [10, ""Product"", 1], [11, ""Environment"", 5], [12, ""Environment"", 2], [13, ""Environment"", 3], [14, ""Environment"", 5], [15, ""Environment"", 1], [16, ""Environment"", 1], [17, ""Environment"", 4], [18, ""Environment"", 4], [19, ""Environment"", 1], [20, ""Environment"", 5]]"
4,Type B,Description task 4,"[8, 9, 15, 3, 11, 13, 16]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 2], [2, ""Product"", 3], [3, ""Product"", 4], [4, ""Product"", 3], [5, ""Product"", 4], [6, ""Product"", 5], [7, ""Product"", 4], [8, ""Product"", 4], [9, ""Product"", 3], [10, ""Product"", 3], [11, ""Environment"", 4], [12, ""Environment"", 1], [13, ""Environment"", 5], [14, ""Environment"", 3], [15, ""Environment"", 2], [16, ""Environment"", 4], [17, ""Environment"", 5], [18, ""Environment"", 3], [19, ""Environment"", 3], [20, ""Environment"", 5]]"
5,Type C,Description task 5,"[7, 12, 6, 1, 17, 8, 10]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 4], [2, ""Product"", 4], [3, ""Product"", 5], [4, ""Product"", 5], [5, ""Product"", 5], [6, ""Product"", 1], [7, ""Product"", 1], [8, ""Product"", 2], [9, ""Product"", 1], [10, ""Product"", 3], [11, ""Environment"", 2], [12, ""Environment"", 3], [13, ""Environment"", 3], [14, ""Environment"", 1], [15, ""Environment"", 3], [16, ""Environment"", 5], [17, ""Environment"", 5], [18, ""Environment"", 4], [19, ""Environment"", 5], [20, ""Environment"", 1]]"
6,Type C,Description task 6,"[3, 14, 13, 17, 12, 9, 16]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 3], [2, ""Product"", 3], [3, ""Product"", 5], [4, ""Product"", 1], [5, ""Product"", 5], [6, ""Product"", 3], [7, ""Product"", 5], [8, ""Product"", 2], [9, ""Product"", 4], [10, ""Product"", 3], [11, ""Environment"", 1], [12, ""Environment"", 5], [13, ""Environment"", 1], [14, ""Environment"", 5], [15, ""Environment"", 4], [16, ""Environment"", 1], [17, ""Environment"", 4], [18, ""Environment"", 4], [19, ""Environment"", 3], [20, ""Environment"", 3]]"
7,Type B,Description task 7,"[16, 9, 14, 11, 18, 8, 1]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 4], [2, ""Product"", 3], [3, ""Product"", 4], [4, ""Product"", 3], [5, ""Product"", 5], [6, ""Product"", 3], [7, ""Product"", 4], [8, ""Product"", 2], [9, ""Product"", 4], [10, ""Product"", 3], [11, ""Environment"", 2], [12, ""Environment"", 4], [13, ""Environment"", 1], [14, ""Environment"", 2], [15, ""Environment"", 2], [16, ""Environment"", 3], [17, ""Environment"", 3], [18, ""Environment"", 2], [19, ""Environment"", 2], [20, ""Environment"", 4]]"
8,Type C,Description task 8,"[16, 10, 17, 5, 18, 7, 6]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 5], [2, ""Product"", 5], [3, ""Product"", 3], [4, ""Product"", 4], [5, ""Product"", 1], [6, ""Product"", 4], [7, ""Product"", 2], [8, ""Product"", 2], [9, ""Product"", 2], [10, ""Product"", 4], [11, ""Environment"", 2], [12, ""Environment"", 3], [13, ""Environment"", 3], [14, ""Environment"", 4], [15, ""Environment"", 1], [16, ""Environment"", 3], [17, ""Environment"", 5], [18, ""Environment"", 1], [19, ""Environment"", 1], [20, ""Environment"", 1]]"
9,Type B,Description task 9,"[13, 10, 1, 12, 15, 14, 2]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 4], [2, ""Product"", 2], [3, ""Product"", 2], [4, ""Product"", 4], [5, ""Product"", 5], [6, ""Product"", 3], [7, ""Product"", 5], [8, ""Product"", 5], [9, ""Product"", 5], [10, ""Product"", 1], [11, ""Environment"", 1], [12, ""Environment"", 1], [13, ""Environment"", 5], [14, ""Environment"", 5], [15, ""Environment"", 4], [16, ""Environment"", 5], [17, ""Environment"", 5], [18, ""Environment"", 1], [19, ""Environment"", 2], [20, ""Environment"", 2]]"
10,Type B,Description task 10,"[11, 13, 5, 9, 17, 2, 7]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 5], [2, ""Product"", 2], [3, ""Product"", 2], [4, ""Product"", 4], [5, ""Product"", 1], [6, ""Product"", 3], [7, ""Product"", 2], [8, ""Product"", 2], [9, ""Product"", 3], [10, ""Product"", 4], [11, ""Environment"", 1], [12, ""Environment"", 1], [13, ""Environment"", 4], [14, ""Environment"", 2], [15, ""Environment"", 2], [16, ""Environment"", 1], [17, ""Environment"", 2], [18, ""Environment"", 2], [19, ""Environment"", 5], [20, ""Environment"", 4]]"
11,Type C,Description task 11,"[7, 3, 6, 14, 8, 2, 1]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 2], [2, ""Product"", 3], [3, ""Product"", 1], [4, ""Product"", 5], [5, ""Product"", 5], [6, ""Product"", 3], [7, ""Product"", 3], [8, ""Product"", 4], [9, ""Product"", 3], [10, ""Product"", 3], [11, ""Environment"", 3], [12, ""Environment"", 5], [13, ""Environment"", 5], [14, ""Environment"", 2], [15, ""Environment"", 5], [16, ""Environment"", 2], [17, ""Environment"", 5], [18, ""Environment"", 5], [19, ""Environment"", 5], [20, ""Environment"", 4]]"
12,Type C,Description task 12,"[11, 10, 14, 2, 5, 1, 17]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 5], [2, ""Product"", 4], [3, ""Product"", 2], [4, ""Product"", 5], [5, ""Product"", 1], [6, ""Product"", 2], [7, ""Product"", 2], [8, ""Product"", 2], [9, ""Product"", 4], [10, ""Product"", 3], [11, ""Environment"", 1], [12, ""Environment"", 3], [13, ""Environment"", 5], [14, ""Environment"", 4], [15, ""Environment"", 2], [16, ""Environment"", 5], [17, ""Environment"", 3], [18, ""Environment"", 1], [19, ""Environment"", 3], [20, ""Environment"", 2]]"
13,Type B,Description task 13,"[10, 9, 11, 18, 4, 7, 16]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 1], [2, ""Product"", 1], [3, ""Product"", 4], [4, ""Product"", 3], [5, ""Product"", 5], [6, ""Product"", 5], [7, ""Product"", 4], [8, ""Product"", 5], [9, ""Product"", 2], [10, ""Product"", 5], [11, ""Environment"", 3], [12, ""Environment"", 4], [13, ""Environment"", 3], [14, ""Environment"", 4], [15, ""Environment"", 5], [16, ""Environment"", 2], [17, ""Environment"", 3], [18, ""Environment"", 3], [19, ""Environment"", 3], [20, ""Environment"", 1]]"
14,Type B,Description task 14,"[8, 9, 12, 6, 18, 15, 4]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 4], [2, ""Product"", 5], [3, ""Product"", 3], [4, ""Product"", 2], [5, ""Product"", 1], [6, ""Product"", 3], [7, ""Product"", 4], [8, ""Product"", 1], [9, ""Product"", 4], [10, ""Product"", 1], [11, ""Environment"", 1], [12, ""Environment"", 4], [13, ""Environment"", 4], [14, ""Environment"", 3], [15, ""Environment"", 1], [16, ""Environment"", 1], [17, ""Environment"", 3], [18, ""Environment"", 5], [19, ""Environment"", 4], [20, ""Environment"", 3]]"
15,Type B,Description task 15,"[13, 16, 4, 11, 10, 2, 7]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 3], [2, ""Product"", 4], [3, ""Product"", 2], [4, ""Product"", 1], [5, ""Product"", 3], [6, ""Product"", 5], [7, ""Product"", 5], [8, ""Product"", 2], [9, ""Product"", 1], [10, ""Product"", 4], [11, ""Environment"", 2], [12, ""Environment"", 5], [13, ""Environment"", 2], [14, ""Environment"", 3], [15, ""Environment"", 2], [16, ""Environment"", 3], [17, ""Environment"", 2], [18, ""Environment"", 5], [19, ""Environment"", 5], [20, ""Environment"", 1]]"
16,Type A,Description task 16,"[11, 5, 8, 4, 1, 10, 9]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 5], [2, ""Product"", 3], [3, ""Product"", 5], [4, ""Product"", 4], [5, ""Product"", 3], [6, ""Product"", 5], [7, ""Product"", 1], [8, ""Product"", 4], [9, ""Product"", 4], [10, ""Product"", 2], [11, ""Environment"", 4], [12, ""Environment"", 3], [13, ""Environment"", 1], [14, ""Environment"", 5], [15, ""Environment"", 3], [16, ""Environment"", 4], [17, ""Environment"", 1], [18, ""Environment"", 2], [19, ""Environment"", 2], [20, ""Environment"", 1]]"
17,Type B,Description task 17,"[2, 4, 1, 18, 13, 7, 15]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 1], [2, ""Product"", 3], [3, ""Product"", 1], [4, ""Product"", 2], [5, ""Product"", 4], [6, ""Product"", 5], [7, ""Product"", 1], [8, ""Product"", 3], [9, ""Product"", 2], [10, ""Product"", 3], [11, ""Environment"", 2], [12, ""Environment"", 2], [13, ""Environment"", 2], [14, ""Environment"", 3], [15, ""Environment"", 1], [16, ""Environment"", 5], [17, ""Environment"", 4], [18, ""Environment"", 4], [19, ""Environment"", 2], [20, ""Environment"", 3]]"
18,Type A,Description task 18,"[8, 7, 1, 15, 9, 4, 13]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 2], [2, ""Product"", 3], [3, ""Product"", 2], [4, ""Product"", 5], [5, ""Product"", 3], [6, ""Product"", 4], [7, ""Product"", 4], [8, ""Product"", 4], [9, ""Product"", 5], [10, ""Product"", 4], [11, ""Environment"", 2], [12, ""Environment"", 5], [13, ""Environment"", 1], [14, ""Environment"", 2], [15, ""Environment"", 3], [16, ""Environment"", 5], [17, ""Environment"", 1], [18, ""Environment"", 1], [19, ""Environment"", 4], [20, ""Environment"", 5]]"
19,Type B,Description task 19,"[6, 7, 17, 12, 18, 11, 8]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 1], [2, ""Product"", 1], [3, ""Product"", 3], [4, ""Product"", 1], [5, ""Product"", 4], [6, ""Product"", 2], [7, ""Product"", 2], [8, ""Product"", 5], [9, ""Product"", 4], [10, ""Product"", 2], [11, ""Environment"", 4], [12, ""Environment"", 4], [13, ""Environment"", 3], [14, ""Environment"", 1], [15, ""Environment"", 3], [16, ""Environment"", 5], [17, ""Environment"", 3], [18, ""Environment"", 3], [19, ""Environment"", 1], [20, ""Environment"", 3]]"
20,Type A,Description task 20,"[1, 6, 13, 4, 3, 15, 18]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 4], [2, ""Product"", 5], [3, ""Product"", 2], [4, ""Product"", 4], [5, ""Product"", 1], [6, ""Product"", 3], [7, ""Product"", 4], [8, ""Product"", 5], [9, ""Product"", 5], [10, ""Product"", 3], [11, ""Environment"", 3], [12, ""Environment"", 5], [13, ""Environment"", 4], [14, ""Environment"", 3], [15, ""Environment"", 3], [16, ""Environment"", 2], [17, ""Environment"", 3], [18, ""Environment"", 4], [19, ""Environment"", 2], [20, ""Environment"", 4]]"
21,Type A,Description task 21,"[5, 6, 4, 7, 8, 14, 2]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 2], [2, ""Product"", 2], [3, ""Product"", 3], [4, ""Product"", 4], [5, ""Product"", 4], [6, ""Product"", 2], [7, ""Product"", 2], [8, ""Product"", 2], [9, ""Product"", 2], [10, ""Product"", 2], [11, ""Environment"", 4], [12, ""Environment"", 1], [13, ""Environment"", 4], [14, ""Environment"", 3], [15, ""Environment"", 5], [16, ""Environment"", 5], [17, ""Environment"", 2], [18, ""Environment"", 2], [19, ""Environment"", 2], [20, ""Environment"", 3]]"
22,Type A,Description task 22,"[1, 13, 11, 9, 2, 4, 6]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 3], [2, ""Product"", 4], [3, ""Product"", 3], [4, ""Product"", 4], [5, ""Product"", 4], [6, ""Product"", 3], [7, ""Product"", 3], [8, ""Product"", 3], [9, ""Product"", 4], [10, ""Product"", 3], [11, ""Environment"", 4], [12, ""Environment"", 3], [13, ""Environment"", 3], [14, ""Environment"", 3], [15, ""Environment"", 1], [16, ""Environment"", 2], [17, ""Environment"", 1], [18, ""Environment"", 5], [19, ""Environment"", 2], [20, ""Environment"", 5]]"
23,Type C,Description task 23,"[8, 5, 17, 6, 7, 2, 16]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 4], [2, ""Product"", 5], [3, ""Product"", 5], [4, ""Product"", 2], [5, ""Product"", 1], [6, ""Product"", 4], [7, ""Product"", 2], [8, ""Product"", 1], [9, ""Product"", 2], [10, ""Product"", 5], [11, ""Environment"", 1], [12, ""Environment"", 1], [13, ""Environment"", 1], [14, ""Environment"", 1], [15, ""Environment"", 3], [16, ""Environment"", 1], [17, ""Environment"", 2], [18, ""Environment"", 5], [19, ""Environment"", 5], [20, ""Environment"", 3]]"
24,Type C,Description task 24,"[12, 14, 3, 1, 17, 15, 10]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 3], [2, ""Product"", 3], [3, ""Product"", 5], [4, ""Product"", 2], [5, ""Product"", 3], [6, ""Product"", 4], [7, ""Product"", 1], [8, ""Product"", 5], [9, ""Product"", 3], [10, ""Product"", 2], [11, ""Environment"", 1], [12, ""Environment"", 5], [13, ""Environment"", 1], [14, ""Environment"", 1], [15, ""Environment"", 3], [16, ""Environment"", 4], [17, ""Environment"", 2], [18, ""Environment"", 2], [19, ""Environment"", 1], [20, ""Environment"", 1]]"
25,Type A,Description task 25,"[7, 5, 1, 17, 10, 18, 12]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 3], [2, ""Product"", 4], [3, ""Product"", 3], [4, ""Product"", 1], [5, ""Product"", 2], [6, ""Product"", 1], [7, ""Product"", 5], [8, ""Product"", 1], [9, ""Product"", 1], [10, ""Product"", 2], [11, ""Environment"", 4], [12, ""Environment"", 2], [13, ""Environment"", 4], [14, ""Environment"", 2], [15, ""Environment"", 3], [16, ""Environment"", 2], [17, ""Environment"", 2], [18, ""Environment"", 4], [19, ""Environment"", 2], [20, ""Environment"", 4]]"
26,Type C,Description task 26,"[14, 6, 3, 18, 10, 4, 15]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 4], [2, ""Product"", 2], [3, ""Product"", 3], [4, ""Product"", 4], [5, ""Product"", 5], [6, ""Product"", 4], [7, ""Product"", 5], [8, ""Product"", 3], [9, ""Product"", 3], [10, ""Product"", 2], [11, ""Environment"", 2], [12, ""Environment"", 1], [13, ""Environment"", 5], [14, ""Environment"", 4], [15, ""Environment"", 3], [16, ""Environment"", 4], [17, ""Environment"", 1], [18, ""Environment"", 1], [19, ""Environment"", 3], [20, ""Environment"", 1]]"
27,Type A,Description task 27,"[11, 4, 14, 8, 1, 10, 16]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 2], [2, ""Product"", 3], [3, ""Product"", 3], [4, ""Product"", 2], [5, ""Product"", 1], [6, ""Product"", 4], [7, ""Product"", 4], [8, ""Product"", 5], [9, ""Product"", 1], [10, ""Product"", 5], [11, ""Environment"", 3], [12, ""Environment"", 5], [13, ""Environment"", 2], [14, ""Environment"", 2], [15, ""Environment"", 4], [16, ""Environment"", 5], [17, ""Environment"", 5], [18, ""Environment"", 1], [19, ""Environment"", 5], [20, ""Environment"", 4]]"
28,Type C,Description task 28,"[5, 18, 12, 4, 14, 9, 10]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 4], [2, ""Product"", 4], [3, ""Product"", 3], [4, ""Product"", 3], [5, ""Product"", 1], [6, ""Product"", 2], [7, ""Product"", 4], [8, ""Product"", 1], [9, ""Product"", 4], [10, ""Product"", 3], [11, ""Environment"", 1], [12, ""Environment"", 3], [13, ""Environment"", 5], [14, ""Environment"", 5], [15, ""Environment"", 5], [16, ""Environment"", 3], [17, ""Environment"", 5], [18, ""Environment"", 5], [19, ""Environment"", 2], [20, ""Environment"", 4]]"
29,Type B,Description task 29,"[17, 11, 1, 8, 3, 15, 16]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 4], [2, ""Product"", 3], [3, ""Product"", 1], [4, ""Product"", 3], [5, ""Product"", 5], [6, ""Product"", 4], [7, ""Product"", 2], [8, ""Product"", 1], [9, ""Product"", 4], [10, ""Product"", 1], [11, ""Environment"", 3], [12, ""Environment"", 3], [13, ""Environment"", 3], [14, ""Environment"", 2], [15, ""Environment"", 5], [16, ""Environment"", 1], [17, ""Environment"", 3], [18, ""Environment"", 4], [19, ""Environment"", 4], [20, ""Environment"", 2]]"
30,Type A,Description task 30,"[9, 1, 16, 10, 3, 14, 2]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 4], [2, ""Product"", 5], [3, ""Product"", 4], [4, ""Product"", 3], [5, ""Product"", 5], [6, ""Product"", 5], [7, ""Product"", 3], [8, ""Product"", 5], [9, ""Product"", 4], [10, ""Product"", 3], [11, ""Environment"", 5], [12, ""Environment"", 4], [13, ""Environment"", 2], [14, ""Environment"", 3], [15, ""Environment"", 4], [16, ""Environment"", 3], [17, ""Environment"", 3], [18, ""Environment"", 5], [19, ""Environment"", 3], [20, ""Environment"", 2]]"
31,Type A,Description task 31,"[1, 8, 15, 18, 17, 3, 5]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 4], [2, ""Product"", 3], [3, ""Product"", 5], [4, ""Product"", 3], [5, ""Product"", 3], [6, ""Product"", 3], [7, ""Product"", 3], [8, ""Product"", 4], [9, ""Product"", 3], [10, ""Product"", 5], [11, ""Environment"", 2], [12, ""Environment"", 4], [13, ""Environment"", 2], [14, ""Environment"", 2], [15, ""Environment"", 3], [16, ""Environment"", 5], [17, ""Environment"", 4], [18, ""Environment"", 4], [19, ""Environment"", 2], [20, ""Environment"", 1]]"
32,Type B,Description task 32,"[9, 14, 5, 11, 12, 10, 3]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 2], [2, ""Product"", 1], [3, ""Product"", 1], [4, ""Product"", 4], [5, ""Product"", 2], [6, ""Product"", 3], [7, ""Product"", 5], [8, ""Product"", 3], [9, ""Product"", 2], [10, ""Product"", 2], [11, ""Environment"", 3], [12, ""Environment"", 3], [13, ""Environment"", 2], [14, ""Environment"", 3], [15, ""Environment"", 1], [16, ""Environment"", 4], [17, ""Environment"", 4], [18, ""Environment"", 3], [19, ""Environment"", 5], [20, ""Environment"", 2]]"
33,Type A,Description task 33,"[9, 11, 8, 17, 15, 18, 14]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 5], [2, ""Product"", 5], [3, ""Product"", 2], [4, ""Product"", 5], [5, ""Product"", 2], [6, ""Product"", 3], [7, ""Product"", 4], [8, ""Product"", 3], [9, ""Product"", 4], [10, ""Product"", 4], [11, ""Environment"", 3], [12, ""Environment"", 5], [13, ""Environment"", 1], [14, ""Environment"", 4], [15, ""Environment"", 4], [16, ""Environment"", 1], [17, ""Environment"", 3], [18, ""Environment"", 3], [19, ""Environment"", 3], [20, ""Environment"", 3]]"
34,Type B,Description task 34,"[1, 2, 4, 17, 16, 13, 8]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 3], [2, ""Product"", 1], [3, ""Product"", 5], [4, ""Product"", 3], [5, ""Product"", 4], [6, ""Product"", 5], [7, ""Product"", 2], [8, ""Product"", 3], [9, ""Product"", 5], [10, ""Product"", 3], [11, ""Environment"", 4], [12, ""Environment"", 2], [13, ""Environment"", 5], [14, ""Environment"", 3], [15, ""Environment"", 1], [16, ""Environment"", 2], [17, ""Environment"", 3], [18, ""Environment"", 3], [19, ""Environment"", 4], [20, ""Environment"", 1]]"
35,Type B,Description task 35,"[6, 14, 10, 11, 1, 7, 13]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 5], [2, ""Product"", 3], [3, ""Product"", 4], [4, ""Product"", 3], [5, ""Product"", 5], [6, ""Product"", 1], [7, ""Product"", 4], [8, ""Product"", 5], [9, ""Product"", 5], [10, ""Product"", 4], [11, ""Environment"", 2], [12, ""Environment"", 5], [13, ""Environment"", 1], [14, ""Environment"", 3], [15, ""Environment"", 3], [16, ""Environment"", 2], [17, ""Environment"", 1], [18, ""Environment"", 1], [19, ""Environment"", 4], [20, ""Environment"", 5]]"
36,Type A,Description task 36,"[5, 8, 3, 2, 10, 14, 7]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 3], [2, ""Product"", 1], [3, ""Product"", 4], [4, ""Product"", 2], [5, ""Product"", 3], [6, ""Product"", 2], [7, ""Product"", 4], [8, ""Product"", 4], [9, ""Product"", 5], [10, ""Product"", 5], [11, ""Environment"", 1], [12, ""Environment"", 4], [13, ""Environment"", 4], [14, ""Environment"", 1], [15, ""Environment"", 1], [16, ""Environment"", 4], [17, ""Environment"", 2], [18, ""Environment"", 3], [19, ""Environment"", 5], [20, ""Environment"", 2]]"
37,Type A,Description task 37,"[13, 14, 11, 17, 9, 6, 10]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 5], [2, ""Product"", 5], [3, ""Product"", 3], [4, ""Product"", 3], [5, ""Product"", 1], [6, ""Product"", 1], [7, ""Product"", 3], [8, ""Product"", 3], [9, ""Product"", 1], [10, ""Product"", 1], [11, ""Environment"", 2], [12, ""Environment"", 3], [13, ""Environment"", 5], [14, ""Environment"", 5], [15, ""Environment"", 4], [16, ""Environment"", 3], [17, ""Environment"", 1], [18, ""Environment"", 3], [19, ""Environment"", 2], [20, ""Environment"", 5]]"
38,Type B,Description task 38,"[2, 3, 14, 16, 10, 5, 8]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 4], [2, ""Product"", 5], [3, ""Product"", 1], [4, ""Product"", 2], [5, ""Product"", 1], [6, ""Product"", 4], [7, ""Product"", 2], [8, ""Product"", 5], [9, ""Product"", 2], [10, ""Product"", 3], [11, ""Environment"", 5], [12, ""Environment"", 2], [13, ""Environment"", 2], [14, ""Environment"", 1], [15, ""Environment"", 5], [16, ""Environment"", 4], [17, ""Environment"", 4], [18, ""Environment"", 5], [19, ""Environment"", 2], [20, ""Environment"", 1]]"
39,Type C,Description task 39,"[3, 1, 13, 11, 8, 12, 18]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 4], [2, ""Product"", 4], [3, ""Product"", 4], [4, ""Product"", 3], [5, ""Product"", 5], [6, ""Product"", 5], [7, ""Product"", 5], [8, ""Product"", 5], [9, ""Product"", 1], [10, ""Product"", 3], [11, ""Environment"", 3], [12, ""Environment"", 4], [13, ""Environment"", 1], [14, ""Environment"", 4], [15, ""Environment"", 5], [16, ""Environment"", 3], [17, ""Environment"", 2], [18, ""Environment"", 5], [19, ""Environment"", 5], [20, ""Environment"", 3]]"
